Event,Particle,Px,Py,Pz,Energy,Mass,PID,Vx,Vy,Vz
2350,Muon-,0.6598049708166016,-34.924805914930644,-30.36989833947792,46.287356785456346,0.1056599989533424,13,0.01425453982768605,-0.7545215009102474,-0.6561164959201181
2350,Photon,27.30199936364929,-26.580163758975107,-0.0793665835889131,38.103944194238125,0.0,22,0.7165137347586645,-0.6975698794718059,-0.0020828968041821374
2496,Higgs,-27.091497703354555,-13.803154654681776,-24.8014264540235,131.01369043113877,125.0,25,-0.20678371561172026,-0.10535658227211575,-0.18930408243907312
2496,Z Boson,0.0,1.1102230246251563e-16,3.552713678800501e-15,91.77611629006395,91.776123046875,23,0.0,1.2097080041132155e-18,3.871065613162291e-17
2496,Electron+,-14.67964893393986,-0.1548094317123458,43.47640524801039,45.88806147581607,0.0005109999910928,-11,-0.3199012654233897,-0.003373631980377586,0.947444800450403
2496,Electron-,14.679647097151705,0.15480945860181,-43.47640796382237,45.88805934494503,0.0005109999910928,11,0.3199012402508322,0.003373632723016072,-0.947444903629634
2496,Photon,-27.09149687658766,-13.803154233442926,-24.801425697144044,39.23757014285429,0.0,22,-0.6904478737585997,-0.3517841238177863,-0.6320836281871733
2509,Higgs,5.673791275536233,-35.370976629353585,20.04995954406981,131.56860861494076,125.0,25,0.04312420215783847,-0.2688405464017114,0.1523916666379716
2509,Z Boson,-8.881784197001252e-16,4.440892098500626e-16,1.7763568394002505e-15,90.51621833283434,90.51622009277344,23,-9.812367728777978e-18,4.906183864388989e-18,1.9624735457555956e-17
2509,Muon+,7.81383009081531,18.988146057857502,-40.332115181600045,45.25811035404354,0.1056599989533424,-13,0.1726503830957492,0.4195523390021746,-0.891157736504936
2509,Muon-,-7.81383009678301,-18.988145066979957,40.33211516051148,45.25810770893168,0.1056599989533424,13,-0.17265039331816676,-0.41955234162900384,0.8911577881227222
2509,Photon,5.673791275536233,-35.370976629353585,20.0499595440698,41.052390282106415,0.0,22,0.13820854855336595,-0.8616057770641141,0.4883993211184347
2515,Higgs,-10.124181366179409,9.978320714124845,-35.97518752634024,130.84830931335938,125.0,25,-0.07737342132509883,0.07625869043694304,-0.2749381150977336
2515,Z Boson,0.0,9.43689570931383e-16,3.552713678800501e-15,92.16652888807602,92.16653442382812,23,0.0,1.0238961826124194e-17,3.8546679815996966e-17
2515,Muon+,15.61908924304745,6.8787078009205045,42.80634890447193,46.08326395014713,0.1056599989533424,-13,0.3389319224424767,0.14926694012737227,0.928891429018132
2515,Muon-,-15.619088787157184,-6.878707541856814,-42.80635088625309,46.08326546727813,0.1056599989533424,13,-0.3389319013915728,-0.14926692959163465,-0.9288914414419732
2515,Photon,-10.124181211696662,9.978320561867752,-35.97518697740245,38.681778428696624,0.0,22,-0.26172998302957795,0.25795919854773774,-0.9300292912777183
2542,Higgs,-2.363837672378005,-31.65696574442156,-35.34060181193435,133.7225087452166,125.0,25,-0.017677186096484762,-0.23673625361559755,-0.26428311989920333
2542,Z Boson,0.0,-8.881784197001252e-16,3.552713678800501e-15,86.21767253264079,86.2176742553711,23,0.0,-1.0301581956574779e-17,4.1206327826299116e-17
2542,Electron+,33.65594611618729,-26.656846384806727,-3.8809582996353,43.10883653625386,0.0005109999910928,-11,0.7807203538857552,-0.6183615362105338,-0.09002697849132334
2542,Electron-,-33.65594302555057,26.65684435954228,3.880956260650052,43.10883696007609,0.0005109999910928,11,-0.7807202745163359,0.6183614831508836,0.0900269303076833
2542,Photon,-2.3638376002394037,-31.65696477832763,-35.34060073342478,47.50483213168869,0.0,22,-0.04975994007697117,-0.6663946246683073,-0.7439369669901515
2572,Higgs,15.549111822798418,32.275249348518,20.198394579825106,131.5919516634251,125.0,25,0.11816157163295697,0.24526765459842817,0.1534926287246417
2572,Z Boson,1.7763568394002505e-15,-1.3322676295501878e-15,3.552713678800501e-15,90.46480981048111,90.46481323242188,23,1.9635887624388113e-17,-1.4726915718291084e-17,3.9271775248776225e-17
2572,Muon+,14.113772029030828,42.87412603940969,-2.9274551716806583,45.232405100016976,0.1056599989533424,-13,0.3120278923444982,0.9478630628773175,-0.06472030760264745
2572,Muon-,-14.113772063543664,-42.87412801839653,2.927454650011107,45.23240414093217,0.1056599989533424,13,-0.31202789972358963,-0.9478631267268511,0.06472029744185022
2572,Photon,15.549111822798416,32.27524934851801,20.19839457982509,41.12714185294398,0.0,22,0.3780742138220182,0.7847676228978618,0.4911207944390437
2655,Higgs,24.54639687590943,-4.255990656894491,-31.47357423105045,131.28680410055946,125.0,25,0.18696773863965838,-0.03241750521731494,-0.23973143718955323
2655,Z Boson,3.552713678800501e-15,-5.551115123125783e-17,-7.105427357601002e-15,91.14673777643856,91.14673614501952,23,3.8977957582140455e-17,-6.090305872209446e-19,-7.795591516428091e-17
